SMILES,mol_id,qed,sim,gsk3,sa
CC(C)Cc1cc(-c2ccnc3[nH]ccc23)ccc1CCCN,0,0.712306749,0.142857143,0.69,0.834584392
CC(C)Cc1cc(-c2ccnc3[nH]ccc23)ccc1CCN,0,0.748586955,0.146341463,0.69,0.835843681
CC(C)Cc1cc(-c2ccnc3[nH]ccc23)ccc1CN,0,0.7609859,0.15,0.69,0.839649341
CCOC(=O)C1SC(=NC)N(CC)C1=Nc1ccccc1C,1,0.800615621,0.516666667,0.01,0.717308735
CCOC(=S)N1CC(CC)SC1=NC(=O)c1ccccc1C,1,0.788424963,0.483870968,0.03,0.723906213
CCOC(=S)N1CC(CC)SC1=NC(=O)c1ccccc1,1,0.798562828,0.343283582,0.04,0.732501215
CCN1CC(=O)SC1=NC(=O)OCc1ccccc1CC,1,0.85581618,0.257142857,0,0.788245856
CCC1SC(NCCOC)=NC1=NC(=O)c1ccccc1,1,0.848208981,0.260273973,0.01,0.750235496
CCn1cc(NC(=O)OC)nc1CSc1ccccc1,1,0.858075789,0.189189189,0.02,0.83294017
CCn1cc(NCCSC)nc1C(=O)Nc1cccnc1,1,0.768193455,0.144578313,0.1,0.809574213
CCn1cc(NCCSC)nc1C(=O)c1cccnc1,1,0.626110634,0.148148148,0.09,0.799147998
CCN1C(=S)N=CN=C1Nc1ccccc1COCC,1,0.827192679,0.191780822,0.02,0.80939874
CCN1C(=O)N=CN=C1SCc1ccccc1CC,1,0.786686507,0.173913043,0.03,0.838762653
CCN1C(=O)N=CN=C1Nc1ccccc1CSCC,1,0.885982165,0.144736842,0.03,0.801576877
CCC(=O)c1ccccc1SCc1cc(NC)no1,1,0.645029172,0.208333333,0.01,0.832722197
CCn1cc(NCCN)nc1Sc1ccccc1COC,1,0.784514742,0.15,0.1,0.795404726
CCn1cc(NOCC)nc1Sc1ccccc1CN,1,0.768217906,0.171052632,0.11,0.77522627
CCC(=O)c1nc(Nc2ccccc2)cs1,1,0.820473133,0.176470588,0.01,0.852246156
CCCOc1nc(=O)n(Cc2cccs2)c(NC)n1,1,0.869695543,0.139240506,0.01,0.802784305
CCCOC(=O)c1nc(Nc2ccco2)cs1,1,0.82841375,0.171052632,0.03,0.778475037
CCCOC(=O)c1nc(Nc2ccon2)cs1,1,0.824519286,0.157894737,0.03,0.785904236
CCCOC(=O)c1nc(Nc2ccccc2)cs1,1,0.838386776,0.197183099,0.03,0.861453217
CCCOC(=O)c1nc(Nc2ccccc2)ns1,1,0.840245538,0.197183099,0.11,0.842883394
CCCOC(=O)c1nc(Nc2ccccc2CC)ns1,1,0.826218367,0.189189189,0.07,0.828008996
CCOC(=O)c1nc(Nc2ccccc2CC)ns1,1,0.851010986,0.228571429,0.06,0.834409662
CCOC(=O)c1nc(Nc2ccccc2CC)ncc1N,1,0.820841656,0.202702703,0.21,0.863870106
CCOC(=O)c1cc(Nc2ccccc2OC)nc(N)n1,1,0.811376659,0.216216216,0.08,0.877415608
CCOC(=O)c1nc(Nc2ccc(OC)cc2)c(N)cn1,1,0.811376659,0.171052632,0.16,0.866630732
CCOC(=O)c1nc(Nc2ccc(OC)cc2)ncc1O,1,0.81397969,0.173333333,0.42,0.872902701
CCOC(=O)c1nc(Nc2ccc(OC)cc2)ncc1N,1,0.811376659,0.171052632,0.4,0.878984317
CCN1C(=O)CC(Nc2ncc(CC)cn2)c2ccccc21,1,0.94211826,0.186666667,0.06,0.79223638
CCc1cc(Nc2ncc(CC)cn2)cc(F)c1NC(C)=O,1,0.887542034,0.102564103,0.28,0.842378167
CCc1nc(-c2ncc(Nc3cccc(F)c3)cn2)cn1N,1,0.723206499,0.097560976,0.16,0.812410225
CCc1cc(Nc2ncc(CC)cn2)nc2cccc(F)c12,1,0.789354571,0.102564103,0.16,0.836782386
CCc1nc(Nc2ncc(CC)cn2)nc2cccc(F)c12,1,0.799016591,0.090909091,0.1,0.831555036
CNC(=O)c1nc(Nc2cccc(F)c2)ncc1OC,1,0.888992518,0.111111111,0.6,0.863456548
CNC(=O)c1nc(Nc2cccc(F)c2)ncc1O,1,0.778405669,0.101265823,0.6,0.852069388
CNC(=O)c1nc(Nc2cccc(F)c2)ncc1N,1,0.774035307,0.1,0.53,0.861512349
CNc1nc(Nc2cccc(F)c2)ncc1C=O,1,0.809488365,0.075949367,0.73,0.849900548
CNc1nc(Nc2cccc(F)c2)ncc1Br,1,0.913384336,0.064102564,0.69,0.870443457
CNc1nc(Nc2cccc(F)c2)ncc1C=N,1,0.723000554,0.0625,0.69,0.821651076
CNc1nc(Nc2cccc(F)c2)ncc1C(N)F,1,0.739609405,0.0625,0.69,0.774915572
CNc1nc(Nc2cccc(F)c2)ncc1C(F)F,1,0.892509231,0.063291139,0.69,0.840826718
CNc1nc(Nc2cccc(F)c2)ncc1F,1,0.859378145,0.065789474,0.7,0.875838649
CNc1nc(Nc2ccccc2)ncc1C(F)F,1,0.874447345,0.082191781,0.8,0.855279432
CNc1nc(Nc2ccccc2)ncc1F,1,0.830125542,0.084507042,0.84,0.892701674
O=C1C2CCC=C2N=C2SC3=C(C(=O)N(c4ccccc4)C3=O)N12,2,0.735204952,1,0.01,0.702507534
O=C1C2CCCC=C2N2C(=O)N(C3CC(=O)N(c4ccccc4)C3)C12,2,0.830441156,0.232876712,0,0.663792556
O=C1C2CCCC=C2N2C(=O)N(c3ccccc3)C(=O)N=C2S1,2,0.796358446,0.298507463,0.01,0.713345045
O=C1CCCCC2C(=O)N(c3ccccc3)C(=O)N(C(=O)O)C12,2,0.857172443,0.257575758,0,0.75559191
O=C1CCCCC2C(=O)N(c3ccccc3)C(=O)N2C1,2,0.734314517,0.274193548,0,0.813267269
NC1(Cc2ccccc2)C(=O)N(C(=O)O)CCCCC1=O,2,0.796626062,0.138888889,0.02,0.768293604
O=C(O)C1CCC2C(=O)N(c3ccccc3)C(=O)NC12,2,0.848611353,0.274193548,0,0.738207758
O=C1CNC(=O)C(c2ccccc2)N(C2CCC2)C1=O,2,0.810082651,0.196969697,0.04,0.784941219
O=C1CCCCC(c2ccccc2)C(=O)N(C(=O)O)CN1,2,0.826987401,0.205882353,0.02,0.735922937
CCC(O)Nc1ccccc1N1C(=O)CCN(C)C1=O,2,0.820181437,0.133333333,0,0.762817018
CCC(O)Nc1cccc(N2C(=O)CCN(C)C2=O)c1,2,0.820181437,0.146666667,0,0.770771144
CCC(O)C1CCC2C(=O)N(c3ccccc3)C(=O)C2C1,2,0.868272257,0.261538462,0,0.74241579
CCCC1(C)CNC(=O)N(c2ccccc2)C(=O)CCCC1,2,0.913138572,0.214285714,0.02,0.740210287
NC(=O)C1CCC2C(=O)N(c3ccccc3)NC2=C1,2,0.827334255,0.242424242,0.09,0.703087018
NC(=O)C1CCC2C(=O)NCN(c3ccccc3)C2=C1,2,0.841470133,0.217391304,0.09,0.686608155
NC(=O)Nc1ccc2c(c1)C(=O)NCC2c1ccccc1,2,0.786780504,0.164383562,0.13,0.815743188
NC1CC2CNC(=O)N(c3ccccc3)C2C(=O)NC1,2,0.675865882,0.194029851,0.1,0.694497473
CC1CNc2c(c(-c3ccccc3)nn2C)C(=O)NC1,2,0.831512997,0.223880597,0.17,0.746769564
CC1CNc2cccc(-c3ccccc3)c2C(=O)NC1,2,0.832220076,0.164179104,0.22,0.797364305
CC1CNc2cc(c(-c3ccccc3)cc2)C(=O)NC1,2,0.832220076,0.164179104,0.27,0.656920611
CC1CNc2cc(c(-c3ccccc3)cc2)C(=O)NCCO1,2,0.850484436,0.133333333,0.28,0.6500606
CC1CCc2cc(-c3ccccc3)cc(NN)c2C(=O)NC1,2,0.589234073,0.144736842,0.24,0.787936258
CC1CNc2cc(-c3ccccc3)cc(OCCOC)c2CN1,2,0.831591187,0.1,0.11,0.779006312
C(C)c1ccc2c(c1)CNC(=O)C(c1ccccc1)=NN2,2,0.88773672,0.133333333,0.27,0.828480707
C(C)c1ccc2c(c1)CNC(=O)C(c1ccccc1)=N2,2,0.889734265,0.152777778,0.23,0.843682713
C1CCNc2c(-c3ccccc3)ccnc2NC1=O,2,0.82126639,0.161764706,0.21,0.841751552
C1CCNc2c(cccc2-c2ccccc2)C(=O)NC1,2,0.831279465,0.140625,0.23,0.81707135
CC1CNc2c(cccc2-c2ccccc2)C(=O)NCC1,2,0.838658787,0.15942029,0.19,0.750194303
CC1CNc2c(cccc2-c2ccccc2)C(=O)NCCO1,2,0.850484436,0.136986301,0.19,0.741084302
CC1(C)CCc2c(cccc2-c2ccccc2)C(=O)NN1,2,0.841131352,0.128571429,0.16,0.826352675
CC1(C)Cc2c(cccc2-c2ccccc2)C(=O)NCCN1,2,0.848658984,0.126760563,0.27,0.795063486
CC1(C)CNc2c(-c3ccccc3)ccnc2C(=O)NCCO1,2,0.849787485,0.16,0.17,0.744356001
CC1(C)CNc2c(-c3ccccc3)ccc(C3COCN3)c2C1,2,0.880613771,0.12987013,0.1,0.724081169
CC1(C)CNc2c(-c3ccccc3)ccc(C3CCNC3)c2O1,2,0.879112305,0.128205128,0.14,0.747152811
CCC(C)c1cc2c(c(-c3ccccc3)c1)NCCOC2=O,2,0.850181803,0.118421053,0.17,0.77750207
CC1(C)CNc2c(cccc2-c2ccccc2)C(=O)NCCO1,2,0.849464753,0.136986301,0.21,0.767932458
CC1(C)COc2c(-c3ccncc3)ccc(C3CCCN3)c2NC1,2,0.876623168,0.096385542,0.28,0.723642339
CCC(C)c1cc2c(c(-c3ccncc3)c1)NCCOC2=O,2,0.874212574,0.101265823,0.29,0.753940897
CC1(C)COc2c(-c3ccncc3)ccc(C3CCNN3)c21,2,0.893973859,0.101265823,0.33,0.706265119
CC1(C)CNc2c(-c3ccncc3)cccc2C(=O)NCCO1,2,0.849787485,0.118421053,0.39,0.745442248
CC1(C)CNc2c(-c3ccncc3)cccc2OCC1=O,2,0.872660915,0.12,0.27,0.799002418
CC1(C)CNc2ccncc2-c2ccnc(OCC3CC3)c21,2,0.938904915,0.113924051,0.22,0.775394596
CC1(C)CNC(c2ccncc2-c2ccncc2)=N1,2,0.891660092,0.085714286,0.33,0.782097561
CC1CNc2ccc(-c3ccncc3)cc2C(=O)N1,2,0.819539195,0.111111111,0.58,0.787285953
CC1CNc2c(-c3ccncc3)ccnc2NC1=O,2,0.8178766,0.125,0.35,0.750223296
CC1CNc2ccc(-c3ccncc3)cc2NC1=O,2,0.821281939,0.112676056,0.47,0.791224415
CC1CNc2ccc(-c3ccncc3)cc2C(=O)NC1,2,0.834534018,0.128571429,0.62,0.783215499
CC1CNc2cc(-c3ccncc3)cc(C3CC3)c2C1=O,2,0.906344518,0.121621622,0.28,0.756016521
CC1(C)CNC(=O)c2cc(-c3ccncc3)ccc2N1,2,0.834920061,0.097222222,0.63,0.824733962
CC1Cc2ccc(-c3ccncc3)cc2C(=O)NC1,2,0.847469322,0.111111111,0.56,0.805814065
CC1CNc2ccc(-c3ccncc3)cc2C(=O)CC1,2,0.853872566,0.123287671,0.56,0.794801175
CCOc1cc(C2CC(=O)N=C3CC(C)C(C(=O)OC)C32)cc(Cl)c1O,3,0.810688941,0.71875,0.05,0.655025872
CCOc1cc(C2CC(=O)N=C3C2=C(C)C(C)C3=O)cc(Cl)c1O,3,0.90833038,0.472222222,0.06,0.68676818
CCOc1cc(C2CC(=O)N=C3C2C(C)C(OC)C3)cc(Cl)c1O,3,0.899953513,0.597014925,0.03,0.643227932
CCOc1cc(C2CC(=O)N=C3C2C(O)C3OC)cc(Cl)c1O,3,0.87436741,0.558823529,0.06,0.649073578
CCOc1cc(Cl)ccc1C1=C2C(=NC(=O)CC2C)N(C)C1O,3,0.922873561,0.325,0.04,0.693896462
CCOc1cc(Cl)ccc1C1=c2cccc(O)c2=NC(=O)CC1O,3,0.88438186,0.3375,0.07,0.734542729
CCOc1cc(O)ccc1C1=c2cccc(OC)c2=NC(=O)C1,3,0.930001845,0.271604938,0.02,0.793815029
CCOc1cc(O)ccc1C1=c2ccccc2=NC(=O)C(C)C1,3,0.945145071,0.291139241,0.06,0.767244023
CCOc1cc(O)ccc1C1=c2ccccc2=NC(=O)C(C)N1,3,0.889999178,0.259259259,0.13,0.752003787
CCOc1cc(O)ccc1C1=c2ccccc2=NC(=O)N1CCO,3,0.750403821,0.211764706,0.03,0.839900076
CCOc1cc(C2CC(=O)c3ccccc3N=C2O)ccc1O,3,0.904490965,0.307692308,0.08,0.774115976
CCOc1cc(-c2cccc3c2OCC(=O)N3C)ccc1O,3,0.946503752,0.197674419,0.03,0.854542842
CCOc1cc(C2CC(=O)Nc3ccccc3C2C)ccc1O,3,0.899788899,0.337662338,0.05,0.771466196
CCOc1cc(Cl)ccc1C1CC(=O)c2cccc(O)c2N=1,3,0.925180625,0.259259259,0.05,0.826579566
CCOc1cc(C2CC(=O)Nc3cccc(O)c32)ccc1O,3,0.813847541,0.298701299,0.06,0.799605721
CCOc1cc(C2CC(=O)Nc3ccccc3C2=N)ccc1O,3,0.8132866,0.3,0.1,0.783954792
CCOc1cc(C2CC(=O)Nc3ccccc3C(=O)C2)ccc1O,3,0.905557789,0.320512821,0.18,0.814445687
CCOc1cc(C2CC(=O)Nc3nc(Cl)ccc3C2=O)ccc1O,3,0.833330273,0.304878049,0.09,0.768878665
CCOc1cc(C2CC(=O)Nc3nc4ccccc4c(Cl)c32)ccc1O,3,0.71524116,0.305882353,0.09,0.782327151
CCOc1cc(C2CC(=O)Nc3nc4ccccc4c(Cl)c32)ccn1,3,0.767630847,0.255813953,0.06,0.765637769
CCOc1cc(C2CC(=O)Nc3ccccc3C(=O)N2)ccc1Br,3,0.842178205,0.268292683,0.19,0.797947271
CCOc1cc(C2CC(=O)Nc3ccccc3C(=O)N2)ccc1O,3,0.808874492,0.3,0.23,0.802932112
CCOc1cc(C2NC(=O)c3ccccc3NC2=O)ccc1Cl,3,0.90801647,0.294871795,0.15,0.816907692
COc1cc(C2Nc3ccccc3C(=O)NC2=O)ccc1Cl,3,0.836054976,0.227848101,0.31,0.81805113
COc1cc(C2Nc3ccccc3C(=O)NC2=O)ccc1F,3,0.834877646,0.182926829,0.35,0.815401999
COc1cc(C2Nc3ccccc3C(=O)NC2=O)ccc1O,3,0.736162504,0.2125,0.4,0.814203984
COc1cc(C2Nc3ccccc3C(=O)NC2=O)ccc1OC,3,0.849127254,0.189873418,0.32,0.826436923
Cc1cccn2c(=O)c3cc(C(=O)N4COCC4(C)C)c(C)nc3cc12,4,0.632482981,0.584615385,0.03,0.786864031
CC(=O)c1cccn2c(=O)c(C(=O)N3CC4(C)COC4)cc(C)c3cc12,4,0.834720703,0.209302326,0.05,0.569972202
CC(=O)c1cccn2cc(C(=O)OCC3CC4(C)CC43)c(=O)cc12,4,0.640266373,0.186046512,0.03,0.655590698
CC(=O)c1cccn2c(=O)c3cc(C4(C)COC4)c(OC)cc3cc12,4,0.544575236,0.328947368,0.04,0.79004492
CC(=O)c1cccc(-n2c(=O)cc(N3CCCC3)c3c2COC3)c1,4,0.814682893,0.168674699,0,0.816012483
CC(=O)c1cccc(-n2c(=O)cc(N3CCCC3)c3c2OCC3)c1,4,0.814444949,0.152941176,0,0.817740688
CC(=O)c1cc2c(=O)n3c(c(C)c2cc1N1CCCC1)COCC3,4,0.796282269,0.2,0.01,0.804439895
CN(C)n1ccc2cc(C3(CO)CCN(C)C3)ccc2c1=O,4,0.909418598,0.197530864,0.02,0.731126894
COC(C)c1ccc2c(=O)n3c(c(N4CCCC4)c2c1)COC3,4,0.873640759,0.168674699,0.02,0.727714975
COC(C)c1ccc2c(=O)n(C3CCN(C)C3)ccc2c1,4,0.869547299,0.170731707,0.04,0.754696302
CN(C)c1ccc2c(=O)c(C3CCOC3)cn(CC)c2c1,4,0.869565475,0.141176471,0.04,0.769921554
COCC(C)c1ccc2c(=O)n(C3CCNC3)ccc2c1,4,0.937505813,0.151162791,0.06,0.746407097
CC(C)c1ccc2c(=O)n3c(cc2c1)N(C)CCC3,4,0.783473039,0.189189189,0.02,0.831233104
COc1cccc2c(=O)n(C3CCN(C)C3)ccc12,4,0.824678349,0.166666667,0.05,0.81988311
CC(C)c1ccc2c(=O)n(C3CCOC3)ccc2n1,4,0.830879885,0.192307692,0.01,0.783470289
CN(C)CNc1ccc2c(=O)ncn(C3CC3)c2c1,4,0.847422728,0.135802469,0.01,0.81355502
CN(C)c1ccc2c(=O)ncn(C3CCOC3)c2c1,4,0.818156366,0.160493827,0.07,0.773888523
CN(C)CNc1cccc2c(=O)[nH]cc(C3CC3)c12,4,0.82648302,0.1375,0.03,0.807823815
CN(C)CNc1ccc2c(=O)[nH]cc(C3CC3)c2c1CO,4,0.733925325,0.130952381,0.06,0.7785579
CN(C)CNc1ccc2c(=O)ncn(C3CCOC3)c2c1,4,0.859124995,0.151162791,0.01,0.745826265
CN(C)c1ccc2c(CN)c(C3CCOCC3)cnc2c1,4,0.941682627,0.119047619,0.15,0.817031905
COc1ccc2c(CNC3CCOC3)cc(=O)n(CC)c2c1,4,0.916470044,0.134831461,0.04,0.795896453
CN(C)c1ccc2c(CN)c(-c3cccc(OC)c3)cnc2c1,4,0.802027801,0.090909091,0.17,0.857612662
COc1ccc2c(=O)nc(-c3ccncc3)n(C3CC3)c2c1,4,0.744824413,0.175,0.15,0.866199725
CNc1ccc2c(=O)nc(-c3ccncc3)n(C3CCOC3)c2n1,4,0.792064721,0.19047619,0.19,0.763186734
CCc1ccc2c(=O)nc(-c3ccncc3)n(C3CC3)c2n1,4,0.744441554,0.17721519,0.2,0.838707417
CCc1ccc2c(=O)nc(-c3ccncc3)[nH]c2c1CNC,4,0.774114598,0.107142857,0.52,0.829536965
CCc1ccc(-c2ccnc3[nH]c(=O)c(CC)cc23)nc1,4,0.801063051,0.109756098,0.33,0.846714213
CCc1n[nH]c(=O)c2cc(-c3ccncc3)c(CC)nc12,4,0.799808556,0.141025641,0.39,0.812976264
CCc1n[nH]c(=O)c2cc(-c3ccncc3)c(OC)cc12,4,0.800792335,0.108433735,0.38,0.846789085
Cn1cc(-c2cc[nH]c(=O)c2)c2cc(-c3ccncc3)ncc21,4,0.61889029,0.13253012,0.5,0.81634847
CN1CCC(c2c[nH]c(=O)c3cc(-c4ccncc4)ncc23)C1,4,0.789544629,0.137931034,0.44,0.7713349
CN1CCC(c2cc(=O)[nH]c3cc(-c4ccncc4)ncc23)C1,4,0.789544629,0.137931034,0.36,0.773367736
CN1CCC(c2cc(=O)[nH]c3cc(-c4ccncc4)nn23)C1,4,0.777907077,0.127906977,0.35,0.73179685
CN(C)c1cc2cc(-c3ccncc3)[nH]c(=O)c2cn1,4,0.770815323,0.12987013,0.44,0.826599549
CN(C)c1cc(-c2cc[nH]c(=O)c2)c2cc(N)ncc2n1,4,0.745122013,0.13253012,0.33,0.794045074
CN(C)Cc1cc2cc(-c3ccncc3)[nH]c(=O)c2cn1,4,0.797296164,0.12195122,0.47,0.82442447
CN(C)Cc1cc2cc(-c3ccncc3)nc(=O)c2c[nH]1,4,0.796800903,0.109756098,0.6,0.806016777
CN(C)Cc1cc(=O)[nH]c2cc(-c3ccncc3)ncc12,4,0.797296164,0.108433735,0.4,0.837096264
CN(C)CCOc1cc(=O)[nH]c2cc(-c3ccncc3)ncc12,4,0.779422885,0.103448276,0.42,0.835620289
CCc1cn(-c2cc(=O)[nH]c(-c3ccncc3)c2CCN)nc1,4,0.750206315,0.112359551,0.42,0.796418891
CN(C)CCCNc1cc(-c2ccncc2)nc2[nH]ccc12,4,0.686444046,0.105882353,0.49,0.836181513
CN(C)CCc1cc(-c2ccncc2)nc(CCCCN)c1,4,0.760944786,0.084337349,0.41,0.849359676
CN(C)CCCc1cc(-c2ccncc2)nc2[nH]ccc12,4,0.780712402,0.095238095,0.47,0.839032032
CN(C)Cc1cc(-c2ccncc2)nc2[nH]cc(CCN)c12,4,0.756687134,0.093023256,0.54,0.810805097
CN(C)CCOc1ccc(-c2ccnc3[nH]ccc23)cc1CCN,4,0.701041482,0.075268817,0.71,0.840257968
CN(C)CCCCNc1cc(-c2ccncc2)nc2[nH]ccc12,4,0.656978725,0.104651163,0.49,0.835630675
CN(C)CCc1cc(-c2ccncc2)cc2[nH]cc(CCN)c12,4,0.735994129,0.094117647,0.5,0.828105138
CN1C(=O)CC(c2ccco2)Sc2ccccc21,5,0.785815468,1,0,0.790389431
CN1C(=O)CC(c2ccco2)c2ccccc21,5,0.7501765,0.6,0.04,0.809030234
CN1C(=O)CC(c2cccs2)c2ccccc21,5,0.752600785,0.384615385,0.06,0.813058491
CN1C(=O)CC(c2cccs2)Nc2ccccc21,5,0.851114041,0.363636364,0.02,0.792845052
CN1C(=O)CC(c2cncs2)Nc2ccccc21,5,0.856029092,0.344827586,0.12,0.747909549
CN1C(=O)CC(c2cccs2)Nc2cccnc21,5,0.856029092,0.253968254,0.08,0.758947123
CN1C(=O)CC(c2nccs2)Nc2ccccc21,5,0.856029092,0.344827586,0.11,0.770197419
CN1C(=O)CC(c2ccco2)Nc2cccnc21,5,0.833714715,0.410714286,0.06,0.751050377
CN1C(=O)CC(c2ncns2)Nc2ccccc21,5,0.852313512,0.344827586,0.09,0.725764579
CN1C(=O)CC(c2ccncn2)Nc2ccccc21,5,0.845227247,0.322033898,0.25,0.770970709
CN1C(=O)CC(c2ccncc2)Nc2ccccc21,5,0.849305962,0.345454545,0.16,0.801266653
CN1C(=O)CCCNc2cc(-c3cnccn3)ccc21,5,0.861933658,0.194029851,0.33,0.833720379
CN1C(=O)CCCNc2cc(-c3ccncc3)ccc21,5,0.863736804,0.209677419,0.54,0.853332846
CN1C(=O)CCCNc2cc(-c3ccncn3)ccc21,5,0.861933658,0.194029851,0.57,0.833893323
CN1C(=O)CCCCc2cc(-c3ccncc3)ccc2N1,5,0.872327594,0.153846154,0.48,0.791678867
Cc1ccc(-c2cc(-c3ccncn3)c(=O)[nH]c2C)cc1,5,0.782611459,0.088235294,0.47,0.859617803
Cc1ccc(-c2cc(-c3ccncc3)ccn2)c(=O)[nH]1,5,0.773053465,0.126984127,0.45,0.852302342
CC1=C(c2ccnc(-c3ccncc3)c2)C=CNC(=O)C1,5,0.917832976,0.117647059,0.35,0.784054226
C1=Cc2cc(-c3ccncc3)ccc2N(CCCN)C1=O,5,0.797475132,0.102941176,0.55,0.87488903
CC1Cc2cc(-c3ccncc3)ccc2N(CCCO)C1=O,5,0.943424467,0.173913043,0.49,0.807232717
CN1Cc2cc(-c3ccncc3)ccc2N(CCC=O)C1=O,5,0.814930095,0.144927536,0.5,0.824700335
CN1Cc2cc(-c3ccncc3)ccc2NC(=O)CC1C,5,0.873875687,0.181818182,0.37,0.798293188
CN1Cc2cc(-c3ccncc3)ccc2NC(=O)C1,5,0.846490268,0.158730159,0.42,0.858250848
CN1Cc2cc(-c3ccncc3)ccc2NC1=O,5,0.83121853,0.147540984,0.44,0.855054992
CN1Cc2cc(-c3ccncn3)ccc2NC1=O,5,0.830198101,0.134328358,0.48,0.833372448
CN1Cc2cc(-c3ccncn3)ccc2CCC1=O,5,0.78105148,0.151515152,0.53,0.850211967
CN1C(=O)Cc2cc(-c3ccncn3)ccc2C1=O,5,0.718495002,0.169230769,0.56,0.852547268
CN1C(=O)Cc2cc(-c3ccncn3)ccc2CC1,5,0.77679375,0.149253731,0.56,0.846804974
CN1C(=O)Cc2cc(-c3ccncn3)ccc21,5,0.741140269,0.233333333,0.57,0.856686968
COc1ccc(C=NOCC(=O)N2CC3(C)CC2CC(C)(C)C3)cc1,6,0.606934038,1,0,0.664303591
COc1ccc(C=NOCC(=O)N2CC(C)(C)CC2(C)C)cc1,6,0.619075665,0.620689655,0,0.798812064
